arch,test_num,cost,stages
I_LUXOR,35,116,2
I_LUXOR,36,134,2
I_LUXOR,37,145,2
I_LUXOR,38,2,0
I_LUXOR,39,5,0
I_LUXOR,40,10,1
I_LUXOR,41,18,1
I_LUXOR,42,29,1
I_LUXOR,43,43,1
I_LUXOR,44,58,2
I_LUXOR,45,77,2
I_LUXOR,46,98,2
I_LUXOR,47,122,2
I_LUXOR,48,149,2
I_LUXOR,49,179,2
I_LUXOR,50,224,2
I_LUXOR,51,246,3
I_LUXOR,52,285,3
I_LUXOR,53,240,4
I_LUXOR,54,494,5
I_LUXOR,55,1004,6
I_LUXOR,56,2025,7
I_LUXOR,57,4071,8
I_LUXOR+,0,1,0
I_LUXOR+,1,2,0
I_LUXOR+,2,6,0
I_LUXOR+,3,13,1
I_LUXOR+,4,28,2
I_LUXOR+,5,60,3
I_LUXOR+,6,123,4
I_LUXOR+,7,308,4
I_LUXOR+,8,603,5
I_LUXOR+,9,1179,6
I_LUXOR+,10,2317,7
I_LUXOR+,11,2,0
I_LUXOR+,12,5,0
I_LUXOR+,13,10,1
I_LUXOR+,14,22,2
I_LUXOR+,15,46,3
I_LUXOR+,16,95,4
I_LUXOR+,17,295,4
I_LUXOR+,18,540,5
I_LUXOR+,19,1010,6
I_LUXOR+,20,1923,7
I_LUXOR+,21,3733,8
I_LUXOR+,22,0,0
I_LUXOR+,23,0,0
I_LUXOR+,24,4,0
I_LUXOR+,25,5,0
I_LUXOR+,26,11,0
I_LUXOR+,27,12,1
I_LUXOR+,28,16,1
I_LUXOR+,29,24,1
I_LUXOR+,30,36,1
I_LUXOR+,31,48,1
I_LUXOR+,32,65,1
I_LUXOR+,33,50,2
I_LUXOR+,34,55,2
I_LUXOR+,35,71,2
I_LUXOR+,36,90,2
I_LUXOR+,37,93,2
I_LUXOR+,38,1,0
I_LUXOR+,39,3,0
I_LUXOR+,40,6,1
I_LUXOR+,41,12,1
I_LUXOR+,42,21,1
I_LUXOR+,43,36,1
I_LUXOR+,44,35,2
I_LUXOR+,45,48,2
I_LUXOR+,46,63,2
I_LUXOR+,47,82,2
I_LUXOR+,48,107,2
I_LUXOR+,49,138,2
I_LUXOR+,50,183,2
I_LUXOR+,51,143,3
I_LUXOR+,52,168,3
I_LUXOR+,53,165,4
I_LUXOR+,54,326,5
I_LUXOR+,55,645,6
I_LUXOR+,56,1276,7
I_LUXOR+,57,2519,8
